Step,Bus_Avg_Wait,Bus_Avg_Speed,Bus_Count,Other_Avg_Wait,Other_Avg_Speed,Other_Count,All_Avg_Wait,All_Avg_Speed,All_Count,Avg_Queue_Length
0,0,0,0,0,0,0,0,0,0,0
5,0.0,3.3167444152710956,5,0.0,4.804316634280719,13,0.0,4.391102129000268,18,1.0
10,0.0,8.42187461193385,7,0.0,8.209941040655332,23,0.0,8.259392207286984,30,1.0
15,0.0,11.572061200620375,8,0.0,9.914915500335724,33,0.0,10.23826100283029,41,1.0
20,0.0,13.189006983003347,8,0.0,10.006761734681445,45,0.0,10.487100640088524,53,1.0
25,0.0,11.564366174456838,8,0.0,10.676715766165383,57,0.0,10.78596504718587,65,1.0
30,0.0,5.615594058714538,8,0.0,10.661050448977393,69,0.0,10.136847187651382,77,1.2
35,0.625,2.2711979097803554,8,0.08860759493670886,10.753735612695007,79,0.13793103448275862,9.973732145760325,87,1.6666666666666667
40,1.625,1.7046002690631894,8,0.2222222222222222,10.337593276752594,90,0.336734693877551,9.632859153675907,98,2.1666666666666665
45,2.875,0.9202872746571666,8,0.5294117647058824,9.577680742282515,102,0.7,8.948052126455217,110,2.7142857142857144
50,4.125,3.102645118252258,8,1.0263157894736843,9.210511282819002,114,1.2295081967213115,8.809995468749053,122,2.4444444444444446
55,5.0,6.388601986391242,8,1.5725806451612903,9.21582419852923,124,1.7803030303030303,9.044477397793596,132,2.6666666666666665
60,5.875,5.951157851401922,8,2.2318840579710146,8.940156552383154,138,2.4315068493150687,8.776375801644456,146,3.111111111111111
65,6.222222222222222,5.480131570321531,9,2.9139072847682117,8.813613223918344,151,3.1,8.626104880903522,160,2.7142857142857144
70,7.333333333333333,5.56960487815255,9,3.684848484848485,8.532968671889924,165,3.8735632183908044,8.379691234282818,174,3.066666666666667
75,8.555555555555555,3.2607204943095467,9,4.649425287356322,8.561948014199938,174,4.841530054644808,8.301231906664345,183,3.769230769230769
80,9.777777777777779,1.9493364695607245,9,5.610810810810811,8.137685962888341,185,5.804123711340206,7.850597584331904,194,5.2727272727272725
