Step,Bus_Avg_Wait,Bus_Avg_Speed,Bus_Count,Other_Avg_Wait,Other_Avg_Speed,Other_Count,All_Avg_Wait,All_Avg_Speed,All_Count,Avg_Queue_Length
1,0,0,0,0,0,0,0,0,0,0
2,0.0,3.3167444152710956,5,0.0,4.804316634280719,13,0.0,4.391102129000268,18,1.0
3,0.0,8.42187461193385,7,0.0,8.209941040655332,23,0.0,8.259392207286984,30,1.0
4,0.0,11.572061200620375,8,0.0,9.914915500335724,33,0.0,10.23826100283029,41,1.0
5,0.0,13.189006983003347,8,0.0,10.006761734681445,45,0.0,10.487100640088524,53,1.0
6,0.0,11.564366174456838,8,0.0,10.471525604580293,57,0.0,10.606029059334329,65,1.0
7,0.0,5.615594058714538,8,0.0,10.564700647609875,69,0.0,10.050507755257113,77,1.2
8,0.625,2.2711979097803554,8,0.08860759493670886,10.778030381121209,79,0.13793103448275862,9.995792912492165,87,1.6666666666666667
9,1.625,1.7046002690631894,8,0.23333333333333334,10.253455560113897,90,0.3469387755102041,9.555589822068942,98,2.0
10,2.875,0.9202872746571666,8,0.3627450980392157,9.994064509986128,102,0.5454545454545454,9.33415343832584,110,2.0
11,4.125,3.206134632421891,8,0.6491228070175439,9.63999322775018,114,0.8770491803278688,9.218100860843407,122,1.4545454545454546
12,5.0,6.368280923167875,8,0.8870967741935484,9.581342989431207,124,1.1363636363636365,9.386611955112215,132,1.4
13,5.875,6.074369794585969,8,1.3985507246376812,8.751525119524315,138,1.643835616438356,8.604831677061938,146,1.7857142857142858
14,6.0,5.4758158271405,9,1.7086092715231789,9.363936926747451,151,1.95,9.14523011489456,160,1.25
15,7.111111111111111,5.470918496762105,9,2.006060606060606,9.013984052866224,165,2.2701149425287355,8.830722041343597,174,1.4
16,8.222222222222221,3.259230225915724,9,2.3699421965317917,9.33650225564864,173,2.659340659340659,9.03597781461789,182,1.7142857142857142
17,9.333333333333334,1.4743393063814454,9,2.8702702702702703,8.770258360096957,185,3.170103092783505,8.431787888532835,194,2.0526315789473686
18,10.444444444444445,2.1017172333421024,9,3.548223350253807,8.166604754688768,197,3.849514563106796,7.901633940649352,206,2.1363636363636362
19,11.88888888888889,2.3618828118418507,9,4.3,7.737773432482326,210,4.6118721461187215,7.516846420675184,219,2.12
20,13.555555555555555,3.2296725337103833,9,4.936073059360731,7.564383016469906,219,5.276315789473684,7.393276023729398,228,1.8148148148148149
21,15.222222222222221,3.3369369550491124,9,5.6943231441048034,7.188112752598777,229,6.054621848739496,7.042480054372109,238,2.3333333333333335
22,17.333333333333332,5.535434106740967,9,6.8,6.921742452717564,240,7.180722891566265,6.871634922140096,249,2.8275862068965516
23,19.555555555555557,3.763879375393318,9,8.095617529880478,6.5888465595277985,251,8.492307692307692,6.491059233923144,260,3.4444444444444446
24,21.666666666666668,2.0075464016618128,9,8.717557251908397,7.292322101405449,262,9.14760147601476,7.116812945325401,271,2.6315789473684212
25,25.22222222222222,1.0792885101228924,9,9.333333333333334,7.3487130270717875,267,9.851449275362318,7.144275271084323,276,1.9411764705882353
26,22.083333333333332,2.0646507289316003,12,10.097122302158274,7.051056958454872,278,10.593103448275862,6.844722907578047,290,2.05
27,25.416666666666668,3.2728500067706534,12,10.98263888888889,6.8033398082217715,288,11.56,6.662120216163728,300,2.6153846153846154
