Step,Bus_Avg_Wait,Bus_Avg_Speed,Bus_Count,Other_Avg_Wait,Other_Avg_Speed,Other_Count,All_Avg_Wait,All_Avg_Speed,All_Count,Avg_Queue_Length
24,15.666666666666666,4.323216846793513,12,15.223107569721115,5.738962034307018,251,15.243346007604563,5.674365295713246,263,4.0
25,17.416666666666668,4.315235703798668,12,16.619230769230768,5.333046142636486,260,16.654411764705884,5.288142740923054,272,3.676470588235294
26,19.083333333333332,4.677509554883971,12,17.861313868613138,5.265362325094988,274,17.912587412587413,5.240697173897322,286,4.413793103448276
27,20.833333333333332,3.323430080237752,12,19.559139784946236,5.100664337458404,279,19.611683848797252,5.027376326851368,291,4.580645161290323
28,22.083333333333332,5.3783690181873745,12,21.093103448275862,5.0563359668544114,290,21.132450331125828,5.069131982139165,302,4.8
29,23.083333333333332,4.505693441360221,12,22.612040133779264,5.031196971206393,299,22.630225080385852,5.010920307675351,311,4.294117647058823
30,24.25,1.2395405577366267,12,23.893890675241156,5.09727185661856,311,23.907120743034056,4.953950569972791,323,4.382352941176471
31,26.583333333333332,0.9998129151928968,12,25.442006269592476,4.787694771056201,319,25.483383685800604,4.650369749091369,331,4.555555555555555
32,28.75,3.1805172222937323,12,26.818181818181817,4.870753787527885,330,26.885964912280702,4.811447241379319,342,4.857142857142857
33,31.166666666666668,2.432284480692637,12,28.541666666666668,4.699879888568521,336,28.632183908045977,4.621686943469354,348,4.972222222222222
34,33.75,3.180897010964283,12,30.00864553314121,4.756770527819791,347,30.133704735376046,4.704095089930471,359,5.53125
35,36.25,3.297658299324516,12,31.48314606741573,4.377542018389501,356,31.63858695652174,4.342328418854772,368,5.2105263157894735
36,38.333333333333336,3.3008096247383847,12,33.21978021978022,4.421531075821406,364,33.38297872340426,4.385763369935778,376,5.735294117647059
37,40.916666666666664,2.5848851077967976,12,34.78552278820376,4.58740954357426,373,34.97662337662338,4.524993197524054,385,5.9375
38,43.666666666666664,3.0878394846943578,12,36.010416666666664,4.380915252313133,384,36.24242424242424,4.341731138142867,396,5.457142857142857
39,45.916666666666664,2.180130395404699,12,37.524173027989825,3.915484944401516,393,37.772839506172836,3.864067031838647,405,5.159090909090909
40,48.166666666666664,2.5880894196075377,12,39.00992555831265,3.720975622799498,403,39.274698795180726,3.688217467526478,415,5.4772727272727275
41,51.083333333333336,3.3126549399680094,12,40.779126213592235,3.965310313327422,412,41.070754716981135,3.946838934836117,424,5.340909090909091
42,54.0,2.6847212363781456,12,42.16824644549763,3.8750788129895892,422,42.495391705069125,3.8421657002722225,434,5.7
43,56.833333333333336,1.879060468640765,12,43.646651270207855,3.7874944143456046,433,44.002247191011236,3.736031027045699,445,5.837209302325581
44,59.25,1.9195892106246049,12,45.52154195011338,3.6628414786419783,441,45.88520971302428,3.616662610615028,453,6.166666666666667
