Step,Bus_Avg_Wait,Bus_Avg_Speed,Bus_Count,Other_Avg_Wait,Other_Avg_Speed,Other_Count,All_Avg_Wait,All_Avg_Speed,All_Count,Avg_Queue_Length
25,27.583333333333332,4.593552170215795,12,17.560311284046694,6.5858644369855925,257,18.007434944237918,6.496988053337868,269,3.774193548387097
26,30.083333333333332,5.290160396661118,12,18.833333333333332,6.312374136732645,270,19.31205673758865,6.268875679708325,282,4.0
27,32.75,4.3304525989153335,12,20.620938628158846,6.034736760383522,277,21.124567474048444,5.963970636031901,289,4.0285714285714285
28,35.333333333333336,3.3188121313496466,12,22.318181818181817,5.596726243115071,286,22.84228187919463,5.504998158077537,298,4.222222222222222
29,38.333333333333336,2.228837360103013,12,24.320819112627987,5.3558387723168215,293,24.872131147540983,5.23280920855759,305,4.394736842105263
30,41.666666666666664,1.4424602358409533,12,25.91830065359477,5.1763898157272905,306,26.5125786163522,5.035486812712711,318,4.7105263157894735
31,45.083333333333336,1.7439813216690283,12,28.006369426751593,4.918604446687151,314,28.634969325153374,4.801747153741698,326,5.277777777777778
32,48.5,1.4199571248363798,12,29.4741641337386,4.845058128275901,329,30.143695014662757,4.724526714665125,341,4.95
33,52.5,1.1429719711485986,12,31.993993993993993,4.699993148102052,333,32.7072463768116,4.576270672381931,345,5.473684210526316
34,56.666666666666664,0.7516093235501708,12,33.82898550724638,4.55737952098309,345,34.596638655462186,4.4294544723298825,357,5.7631578947368425
35,60.666666666666664,1.0420257146286842,12,35.67787114845938,4.609469225868579,357,36.49051490514905,4.4934548027388255,369,5.947368421052632
36,64.41666666666667,1.085259851909165,12,37.88493150684931,4.299280990727301,365,38.729442970822284,4.196977930605769,377,5.8
37,68.16666666666667,1.0813092289248016,12,40.107238605898125,4.2788186931715355,373,40.981818181818184,4.179156060519689,385,6.368421052631579
38,71.91666666666667,1.1572460904861026,12,41.82642487046632,4.101242013814696,386,42.733668341708544,4.012478317633934,398,5.795454545454546
39,75.66666666666667,0.5587781574327707,12,44.119289340101524,4.0513140562331795,394,45.05172413793103,3.9480863941996702,406,5.826086956521739
40,79.66666666666667,1.1401943768401577,12,46.16089108910891,4.044064206141517,404,47.12740384615385,3.960298730296285,416,6.4523809523809526
41,83.83333333333333,2.122040906564798,12,48.367396593673966,4.000103069332972,411,49.37352245862884,3.946824710105506,423,6.465116279069767
42,88.0,1.4579340146258384,12,50.41567695961995,3.9027295085620737,421,51.45727482678984,3.8349753609241177,433,6.6976744186046515
43,92.41666666666667,1.1509592890445661,12,52.480278422273784,3.7716360635613184,431,53.56207674943567,3.7006470764412263,443,6.711111111111111
44,97.0,0.3047926427174727,12,54.722727272727276,3.732620740844069,440,55.84513274336283,3.6416164550530983,452,7.113636363636363
45,101.91666666666667,0.0003193264009010776,12,56.95991091314031,3.6614919622476902,449,58.130151843817785,3.566190288429553,461,7.4186046511627906
46,106.91666666666667,0.0,12,59.60352422907489,3.495384075834553,454,60.82188841201717,3.4053741854697144,466,7.454545454545454
47,111.91666666666667,0.0,12,62.05411255411256,3.249161054968498,462,63.31645569620253,3.1669038130705616,474,7.369565217391305
48,116.91666666666667,0.0,12,63.957805907173,3.2248279529323187,474,65.26543209876543,3.1452025713784346,486,7.886363636363637
49,121.91666666666667,0.0,12,66.15082644628099,3.226540278485417,484,67.5,3.1484788201349634,496,7.933333333333334
50,108.78571428571429,1.1127165786855455,14,68.66463414634147,3.01941082005571,492,69.77470355731225,2.9666564339308437,506,8.627906976744185
51,113.07142857142857,1.8857313188438172,14,70.8051689860835,2.999622721958961,503,71.94970986460348,2.9694593183929805,517,8.391304347826088
52,117.35714285714286,1.9050545004143247,14,73.216796875,2.957479299859605,512,74.3916349809886,2.9294679934104915,526,8.71111111111111
53,121.78571428571429,0.7482398702605463,14,75.78653846153846,2.920484036522242,520,76.99250936329588,2.8635338149348573,534,8.933333333333334
54,126.42857142857143,0.7670964964358903,14,78.51992409867172,2.7840467311862294,527,79.75970425138632,2.731852085554982,541,9.133333333333333
55,131.07142857142858,0.8383721967082797,14,81.11028037383177,2.6338769613254667,535,82.38433515482696,2.588089954577488,549,9.4
56,135.71428571428572,0.7084187794718619,14,84.20925925925926,2.5685853943432386,540,85.51083032490975,2.5215775737508213,554,9.818181818181818
57,140.35714285714286,0.9424501558229377,14,87.15567765567765,2.4630976969602023,546,88.48571428571428,2.425081508431771,560,9.382978723404255
58,145.0,0.9267214963302416,14,90.08876811594203,2.47886522063212,552,91.4469964664311,2.4404729730345465,566,9.291666666666666
59,149.64285714285714,0.9795223378898975,14,92.2113676731794,2.409081848439113,563,93.60485268630849,2.374395829119028,577,9.5
